Author(S),Original Language,Approximate Sales,First Published,Book Title
Impress [ja] Dekiru Series Editorial Desk,Japanese,40000000,1994,できるシリーズ (Dekiru Series)
Various authors,English,38000000,1930,Better Homes and Gardens New Cook Book
Hong Sung-dae,Korean,37000000,1966,The Art of Mathematics
A. S. Hornby,English,30000000,1948,Oxford Advanced Learner's Dictionary
Various authors,French,30000000,1900,Le guide Michelin France (The Michelin Guide France) (published every year)
X media [ja],Japanese,25000000,1996,超図解シリーズ (Cho-Zukai series)
Various authors,Japanese,24000000,1953,自由自在 [ja] (Jiyu Jizai)
Tadao Yamada,Japanese,20400000,1972,新明解国語辞典 (Shin Meikai kokugo jiten)
Lindley Murray,English,20000000,1795,English Grammar
Various authors,English,18000000,1936,The Joy of Cooking
Various authors,Japanese,18000000,1991,スーパーマップル (Super Mapple)
Various authors,Japanese,17440000,1927,チャート式 [ja] (Chart Shiki)
Yoshio Akao,"Japanese, English",17200000,1942,"英語基本単語集 (Eigo Kihon Tangoshu) ""Compilation of basic English vocabulary"""
Merriam-Webster,English,15110000,1975,Merriam-Webster Pocket Dictionary
Ichiro Mori,"Japanese, English",15000000,1967,"試験に出る英単語 (Siken Ni Deru Eitango) ""English vocabulary in examinations"""
Shigeru Takebayashi,"Japanese, English",12000000,1967,"新英和中辞典 (Shin Eiwa Chu Jiten) ""New English-Japanese Dictionary"""
Izuru Shinmura,Japanese,11900000,1955,広辞苑 (Kōjien)
Akira Matsumura,Japanese,11000000,1960,"旺文社古語辞典 (Obunsha Kogo Jiten) ""Obunsha Dictionary of Archaisms"""
Hammond,English,11000000,1965,Hammond's Pocket Atlas
Kenbō Hidetoshi,Japanese,10000000,1960,"三省堂国語辞典 (Sanseido Kokugo Jiten) ""Sanseido Dictionary of the Japanese Language"""
Takichi Tsukuda,Japanese,10000000,1925,"家庭に於ける実際的看護の秘訣 (Katei Ni Okeru Jissaiteki Kango No Hiketsu) ""Key to Practical Personal Care at Home"""
"Tan, Haoqiang",Chinese,10000000,1991,C程序设计 (C Program Design)
